,name,description,unit,low,high,nominal
0,i_1C,Applied current,A,0.13,6.5,1.3
1,rp_neg,Particle radius,um,1e-06,1.1e-05,5.5e-06
2,Eeq_side,Equilibrium potential (SEI),V,0.0,0.4,0.4
3,kappa_film,SEI film conductivity,S/m,1e-06,0.00024,0.00024
4,epsl_neg,Porosity of anode,,0.23,0.4,0.3
5,Dl,Electrolyte diffusion coefficient,m2/s,1.5e-10,7.5e-10,3.75e-10
6,Ds_neg,Diffusion coefficient of Li in Anode,m2/s,1e-14,1e-13,3.6e-14
7,i0ref_neg,Anode exchange current density,A/m2,0.36,3.6,0.96
8,E_min,Minimum cut-off voltage,V,0.0,0.1,0.05
9,i0_SEI,SEI exchange current density,A/m2,8e-08,1.5e-06,4.5e-07
10,csmax_neg,Maximum Li ion concentration in anode,mol/m3,29000.0,33000.0,31500.0
11,cl_0,Initial electrolyte concentration,mol/m3,1000.0,1200.0,1150.0
12,t_plus,Transference number,,0.25,0.43,0.363
13,i0ref_metal,Li metal exchange current density,A/m2,50.0,100.0,100.0
14,sigma_neg,Anode conductivity,S/m,50.0,100.0,100.0
